Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
6,4,3,2,2,2,8,6,5,5,14,12,0.0014119148254394531,0.00609588623046875,0.06563091278076172,31,29,28,23,0,0,0,0,0,0,0,0,True,0.03639674186706543,0.0029783248901367188,0.0091400146484375
5,3,2,1,2,2,8,6,5,5,14,12,0.001299142837524414,0.006175994873046875,0.05873680114746094,30,28,27,22,0,0,0,0,0,0,0,0,True,0.017155170440673828,0.001995086669921875,0.007589101791381836
5,5,4,1,2,2,8,6,5,5,14,12,0.0012569427490234375,0.006258964538574219,0.06560277938842773,30,30,29,22,0,0,0,0,0,0,0,0,True,0.020158052444458008,0.0030260086059570312,0.008708000183105469
5,3,2,2,2,2,8,8,5,5,14,15,0.0015370845794677734,0.006878852844238281,0.09989094734191895,30,28,27,28,0,0,0,0,0,0,0,0,False,0.05881953239440918,0,0.009816169738769531
4,2,1,1,2,2,8,8,5,4,13,14,0.0014452934265136719,0.0062639713287353516,0.06850099563598633,29,27,26,27,0,0,0,0,0,0,0,0,False,0.030489206314086914,0,0.007679939270019531
4,4,3,0,2,2,8,6,5,5,14,11,0.0012018680572509766,0.006110191345214844,0.053984880447387695,29,29,28,21,0,0,0,0,0,0,0,0,True,0.010692119598388672,0.0024900436401367188,0.008008956909179688
4,4,3,1,2,2,8,6,5,5,14,12,0.0014257431030273438,0.006330728530883789,0.08244705200195312,29,29,28,23,0,0,0,0,0,0,0,0,True,0.03605175018310547,0.002774953842163086,0.010318517684936523
4,4,3,1,3,3,9,7,5,5,14,12,0.0014483928680419922,0.006596803665161133,0.0936269760131836,31,31,30,25,0,0,0,0,0,0,0,0,True,0.044397830963134766,0.003366708755493164,0.011864662170410156
4,4,3,0,3,3,9,7,5,5,14,12,0.0013167858123779297,0.00639796257019043,0.05726814270019531,31,31,30,23,0,0,0,0,0,0,0,0,True,0.013234615325927734,0.0031418800354003906,0.00815582275390625
4,4,3,2,3,3,9,7,5,5,14,12,0.0013461112976074219,0.0064258575439453125,0.0926201343536377,31,31,30,25,0,0,0,0,0,0,0,0,True,0.04579758644104004,0.0033779144287109375,0.009054183959960938
4,2,1,1,3,3,9,9,5,5,14,15,0.0013651847839355469,0.006038188934326172,0.07281994819641113,31,29,28,29,0,0,0,0,0,0,0,0,False,0.03508138656616211,0,0.007687807083129883
4,4,3,0,3,3,9,4,5,5,14,9,0.0011749267578125,0.006376028060913086,0.04790139198303223,31,31,30,21,0,1,0,4,0,1,0,0,True,0.008141279220581055,0.0027837753295898438,0.006063938140869141
4,2,1,1,3,1,7,7,5,3,12,13,0.0013167858123779297,0.00576472282409668,0.05673694610595703,31,25,24,25,0,0,0,0,0,0,0,0,False,0.020790815353393555,0,0.006965160369873047
