Num_Qubits,Num_Layers,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_CCX,L2_CCX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
10,20,18,18,18,14,39,39,39,39,0,0,20,20,20,23,0.0030629634857177734,0.010745048522949219,35.53697896003723,96,96,96,92,0,0,0,0,0,0,0,0,True,35.46797585487366,0.009093046188354492,0.023636817932128906
10,20,20,20,20,14,36,36,36,36,0,0,20,20,20,23,0.0031402111053466797,0.008584022521972656,39.04360294342041,92,92,92,86,0,0,0,0,0,0,0,0,True,38.92945170402527,0.025553464889526367,0.03596210479736328
10,20,21,21,20,12,42,42,40,40,0,0,20,20,20,29,0.003252267837524414,0.010275840759277344,38.76121115684509,105,105,102,94,1,1,2,2,0,0,0,0,True,38.59837341308594,0.04272651672363281,0.04870200157165527
10,20,20,20,20,14,37,37,37,37,0,0,20,20,20,24,0.0030128955841064453,0.009882211685180664,43.060436964035034,94,94,94,88,0,0,0,0,0,0,0,0,True,42.946046590805054,0.02548694610595703,0.0357358455657959
10,20,21,21,21,15,43,43,43,43,0,0,20,20,20,26,0.003350973129272461,0.010390043258666992,48.365269899368286,107,107,107,101,0,0,0,0,0,0,0,0,True,48.26027965545654,0.02034592628479004,0.033371686935424805
10,20,20,20,20,14,39,39,39,39,0,0,20,20,20,24,0.002931833267211914,0.008989810943603516,42.646185874938965,98,98,98,92,0,0,0,0,0,0,0,0,True,42.52758049964905,0.02719712257385254,0.03693652153015137
10,20,21,21,17,13,35,35,31,31,0,0,20,20,19,23,0.0028312206268310547,0.00983285903930664,30.58158016204834,91,91,83,79,2,2,4,4,0,0,0,0,True,30.485196590423584,0.01944422721862793,0.02901005744934082
10,20,23,23,23,13,47,47,47,45,0,0,20,20,20,25,0.0033500194549560547,0.010018110275268555,50.1625018119812,117,117,117,105,0,1,0,2,0,0,0,0,True,49.98047184944153,0.04983258247375488,0.05228066444396973
10,20,18,18,17,16,38,38,36,34,0,0,20,20,20,23,0.0028710365295410156,0.009078025817871094,45.79407787322998,94,94,91,88,1,2,2,4,0,0,0,0,False,45.74557161331177,0,0.017302989959716797
10,20,20,20,18,12,37,37,35,35,0,0,20,20,20,25,0.003183126449584961,0.009498834609985352,32.59925818443298,94,94,90,84,1,1,2,2,0,0,0,0,True,32.47866439819336,0.02759385108947754,0.03749871253967285
10,20,18,18,18,14,41,41,41,41,0,0,20,20,20,28,0.003072023391723633,0.010670900344848633,40.894761085510254,100,100,100,96,0,0,0,0,0,0,0,0,True,40.81880521774292,0.009778261184692383,0.026612043380737305
10,20,17,17,17,13,43,43,43,43,0,0,20,20,20,30,0.0035691261291503906,0.009737253189086914,40.802324056625366,103,103,103,99,0,0,0,0,0,0,0,0,True,40.70192050933838,0.019121408462524414,0.03296089172363281
10,20,16,16,16,14,44,44,44,44,0,0,20,20,20,25,0.0029990673065185547,0.009614944458007812,37.35036778450012,104,104,104,102,0,0,0,0,0,0,0,0,True,37.275670766830444,0.009931087493896484,0.025702714920043945
10,20,19,19,18,16,44,44,42,42,0,0,20,20,20,29,0.003101825714111328,0.011075973510742188,50.55370116233826,107,107,104,102,1,1,2,2,0,0,0,0,True,50.4704794883728,0.010377883911132812,0.02850627899169922
10,20,22,22,22,18,46,46,46,46,0,0,20,20,20,27,0.003178834915161133,0.010380029678344727,67.89074301719666,114,114,114,110,0,0,0,0,0,0,0,0,True,67.77320790290833,0.023746490478515625,0.03550243377685547
10,20,21,21,16,16,37,37,33,33,0,0,20,20,20,22,0.0031800270080566406,0.00935983657836914,37.94840717315674,95,95,86,86,2,2,4,4,0,0,0,0,False,37.89970421791077,0,0.01811504364013672
10,20,27,27,27,15,41,41,41,38,0,0,20,20,20,25,0.0031900405883789062,0.010895013809204102,61.31953001022339,109,109,109,97,0,1,0,4,0,1,0,0,True,61.08642840385437,0.0672445297241211,0.06378722190856934
10,20,20,20,19,15,37,37,35,33,0,0,20,20,20,21,0.003381967544555664,0.009865045547485352,39.82640981674194,94,94,91,83,1,1,2,2,0,0,0,0,True,39.72794461250305,0.018911361694335938,0.03144693374633789
10,20,19,19,18,18,43,43,41,41,0,0,20,20,20,25,0.003180980682373047,0.009857892990112305,59.316588163375854,105,105,102,102,1,1,2,2,0,0,0,0,False,59.262959241867065,0,0.018774986267089844
10,20,15,15,15,9,38,38,38,38,0,0,20,20,20,25,0.0030930042266845703,0.010006904602050781,20.459850072860718,91,91,91,85,0,0,0,0,0,0,0,0,True,20.37387228012085,0.016339778900146484,0.02938699722290039
10,20,23,23,23,17,39,39,39,37,0,0,20,20,20,21,0.003306865692138672,0.01075601577758789,51.03253197669983,101,101,101,91,0,0,0,0,0,0,0,0,True,50.90402960777283,0.029628515243530273,0.03940892219543457
10,20,22,22,22,18,47,47,47,47,0,0,20,20,20,25,0.0031232833862304688,0.010114192962646484,60.84728789329529,116,116,116,112,0,0,0,0,0,0,0,0,True,60.731741428375244,0.023769140243530273,0.03514218330383301
10,20,24,24,24,20,35,35,35,33,0,0,20,20,20,20,0.0031633377075195312,0.009175777435302734,56.996346950531006,94,94,94,86,0,0,0,0,0,0,0,0,True,56.90014386177063,0.01787853240966797,0.029375076293945312
10,20,21,21,21,9,45,45,45,45,0,0,20,20,20,24,0.003362894058227539,0.010276079177856445,37.35321879386902,111,111,111,99,0,0,0,0,0,0,0,0,True,37.16690397262573,0.05142712593078613,0.057093143463134766
10,20,23,23,21,15,42,42,40,40,0,0,20,20,19,30,0.0035109519958496094,0.011770009994506836,49.72576689720154,107,107,103,97,1,1,2,2,0,0,0,0,True,49.58311438560486,0.03371071815490723,0.04311656951904297
10,20,24,24,21,17,44,44,39,37,0,0,20,20,19,25,0.003278017044067383,0.01135396957397461,47.425946950912476,112,112,107,99,2,2,6,6,1,1,0,0,True,47.30878567695618,0.022701740264892578,0.03554105758666992
10,20,25,25,25,19,44,44,44,44,0,0,20,20,20,28,0.003239870071411133,0.010619878768920898,66.58607602119446,113,113,113,107,0,0,0,0,0,0,0,0,True,66.469242811203,0.02366805076599121,0.034899234771728516
10,20,21,21,19,13,44,44,42,40,0,0,20,20,18,27,0.003183126449584961,0.011317253112792969,41.160609006881714,109,109,105,95,1,1,2,2,0,0,0,0,True,41.04946565628052,0.023324966430664062,0.03454327583312988
10,20,24,24,23,19,42,42,40,40,0,0,20,20,19,27,0.003454923629760742,0.010438919067382812,62.67472290992737,108,108,105,101,1,1,2,2,0,0,0,0,True,62.55893158912659,0.02302241325378418,0.034972190856933594
10,20,20,20,20,16,41,41,41,41,0,0,20,20,20,25,0.0032660961151123047,0.009697914123535156,49.3947970867157,102,102,102,98,0,0,0,0,0,0,0,0,True,49.291583776474,0.020064830780029297,0.03256630897521973
10,20,21,21,21,19,44,44,44,44,0,0,20,20,20,34,0.0034821033477783203,0.00993800163269043,62.05735802650452,109,109,109,107,0,0,0,0,0,0,0,0,True,61.975632190704346,0.010715723037719727,0.0264127254486084
10,20,18,18,18,16,34,34,34,34,0,0,20,20,20,24,0.0031690597534179688,0.008064031600952148,37.40171575546265,86,86,86,84,0,0,0,0,0,0,0,0,True,37.33777117729187,0.0077860355377197266,0.0214688777923584
10,20,18,18,18,10,43,43,43,41,0,0,20,20,20,22,0.003184795379638672,0.010764122009277344,29.9839870929718,104,104,104,92,0,0,0,0,0,0,0,0,True,29.860249519348145,0.028792381286621094,0.040049076080322266
10,20,20,20,20,18,46,46,46,46,0,0,20,20,20,22,0.0032181739807128906,0.011599063873291016,54.3629469871521,112,112,112,110,0,0,0,0,0,0,0,0,True,54.191157579422,0.09914183616638184,0.02854776382446289
10,20,23,23,23,11,45,45,45,41,0,0,20,20,20,23,0.0033693313598632812,0.01167917251586914,39.301656007766724,113,113,113,95,0,1,0,2,0,0,0,0,True,39.14009213447571,0.041031837463378906,0.05049300193786621
10,20,29,29,29,23,44,44,44,44,0,0,20,20,20,25,0.003165006637573242,0.009954214096069336,102.5132749080658,117,117,117,111,0,0,0,0,0,0,0,0,True,102.35458064079285,0.037346601486206055,0.04273080825805664
10,20,20,20,20,15,44,44,44,42,0,0,20,20,20,25,0.0031898021697998047,0.009726285934448242,45.26900887489319,108,108,108,101,0,1,0,2,0,0,0,0,True,45.16011142730713,0.022180557250976562,0.03477025032043457
10,20,24,24,21,17,45,45,42,42,0,0,20,20,20,23,0.0033168792724609375,0.009666681289672852,52.294219970703125,114,114,111,107,1,1,4,4,1,1,0,0,True,52.17383575439453,0.025205135345458984,0.03491497039794922
10,20,20,20,20,18,37,37,37,37,0,0,20,20,20,29,0.002972841262817383,0.009741067886352539,46.684959173202515,94,94,94,92,0,0,0,0,0,0,0,0,True,46.613529920578,0.008835315704345703,0.02344059944152832
10,20,29,29,29,17,38,38,38,38,0,0,20,20,20,28,0.0031671524047851562,0.009296894073486328,63.405791997909546,105,105,105,93,0,0,0,0,0,0,0,0,True,63.216880798339844,0.05278658866882324,0.05285358428955078
10,20,24,24,24,16,44,44,44,44,0,0,20,20,20,26,0.0035300254821777344,0.01059722900390625,58.195282220840454,112,112,112,104,0,0,0,0,0,0,0,0,True,58.02770185470581,0.04415726661682129,0.04915976524353027
