Num_Qubits,Num_Layers,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_CCX,L2_CCX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
10,20,18,18,18,14,39,39,39,39,0,0,20,20,20,23,0.0038650035858154297,0.012249946594238281,35.573091983795166,96,96,96,92,0,0,0,0,0,0,0,0,True,35.31339740753174,0.19760799407958984,0.025028228759765625
10,20,20,20,20,14,36,36,36,36,0,0,20,20,20,23,0.003023862838745117,0.009494781494140625,38.57938313484192,92,92,92,86,0,0,0,0,0,0,0,0,True,38.45687007904053,0.025956153869628906,0.04399418830871582
10,20,21,21,20,12,42,42,40,40,0,0,20,20,20,29,0.003052949905395508,0.010103225708007812,38.47720813751221,105,105,102,94,1,1,2,2,0,0,0,0,True,38.32144784927368,0.042720794677734375,0.043477535247802734
10,20,20,20,20,14,37,37,37,37,0,0,20,20,20,24,0.0029120445251464844,0.009606122970581055,43.24864602088928,94,94,94,88,0,0,0,0,0,0,0,0,True,43.13892149925232,0.025419950485229492,0.03162503242492676
10,20,21,21,21,15,43,43,43,43,0,0,20,20,20,26,0.0031850337982177734,0.009762048721313477,49.080179929733276,107,107,107,101,0,0,0,0,0,0,0,0,True,48.97746920585632,0.021246910095214844,0.029863834381103516
10,20,20,20,20,14,39,39,39,39,0,0,20,20,20,24,0.0030078887939453125,0.010617971420288086,43.54474687576294,98,98,98,92,0,0,0,0,0,0,0,0,True,43.42651987075806,0.02797865867614746,0.033669471740722656
10,20,21,21,17,13,35,35,31,31,0,0,20,20,19,23,0.003072023391723633,0.00879216194152832,31.007487058639526,91,91,83,79,2,2,4,4,0,0,0,0,True,30.911330938339233,0.020476341247558594,0.027011394500732422
10,20,23,23,23,13,47,47,47,45,0,0,20,20,20,25,0.0032477378845214844,0.010246992111206055,50.82733488082886,117,117,117,105,0,1,0,2,0,0,0,0,True,50.644591093063354,0.050684213638305664,0.05029869079589844
10,20,18,18,17,16,38,38,36,34,0,0,20,20,20,23,0.0029201507568359375,0.009917974472045898,46.5143609046936,94,94,91,88,1,2,2,4,0,0,0,0,False,46.46861219406128,0,0.013872146606445312
10,20,20,20,18,12,37,37,35,35,0,0,20,20,20,25,0.0029058456420898438,0.008979082107543945,32.91236710548401,94,94,90,84,1,1,2,2,0,0,0,0,True,32.79498887062073,0.02768707275390625,0.03364109992980957
10,20,18,18,18,14,41,41,41,41,0,0,20,20,20,28,0.0034079551696777344,0.00931406021118164,41.307941913604736,100,100,100,96,0,0,0,0,0,0,0,0,True,41.237231492996216,0.009826898574829102,0.020737648010253906
10,20,17,17,17,13,43,43,43,43,0,0,20,20,20,30,0.003113985061645508,0.009319067001342773,41.19198417663574,103,103,103,99,0,0,0,0,0,0,0,0,True,41.09502172470093,0.019411563873291016,0.028423786163330078
10,20,16,16,16,14,44,44,44,44,0,0,20,20,20,25,0.0032927989959716797,0.011013984680175781,37.582273721694946,104,104,104,102,0,0,0,0,0,0,0,0,True,37.50981593132019,0.01028299331665039,0.02223062515258789
10,20,19,19,18,16,44,44,42,42,0,0,20,20,20,29,0.003422975540161133,0.010016918182373047,51.04965281486511,107,107,104,102,1,1,2,2,0,0,0,0,True,50.97057104110718,0.011198043823242188,0.022688865661621094
10,20,22,22,22,18,46,46,46,46,0,0,20,20,20,27,0.0032029151916503906,0.010180950164794922,68.43306493759155,114,114,114,110,0,0,0,0,0,0,0,0,True,68.31854248046875,0.024046659469604492,0.031328678131103516
10,20,21,21,16,16,37,37,33,33,0,0,20,20,20,22,0.002977132797241211,0.009817123413085938,38.352911949157715,95,95,86,86,2,2,4,4,0,0,0,0,False,38.29879331588745,0,0.014416217803955078
