,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
count,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0
mean,4.378048780487805,3.207317073170732,2.1422764227642275,1.187669376693767,2.5853658536585367,2.4878048780487805,7.934959349593496,7.144308943089431,4.926829268292683,4.609756097560975,13.695121951219512,12.877371273712738,0.0013060755522916146,0.00649237325844075,0.12763353059608434,32.08536585365854,30.71951219512195,29.296747967479675,28.209349593495936,0.3902439024390244,0.758130081300813,1.4959349593495934,2.8387533875338753,0.35772357723577236,0.6619241192411924,0.0,0.0,0.0768913562058756,0.0012817956244719287,0.01520442623433054
std,0.9711250789547056,0.8661471185207906,1.2595726881601519,1.0006830151030919,0.49282575216049623,0.5896166452384889,1.8779281944289483,1.7687038623311286,0.2605048045695189,0.6201254723749204,2.954663636601771,2.717027812879486,0.0001488139541457005,0.0028477462288169337,0.048498699453078074,4.965456532679021,5.508568244187242,5.554782602055417,5.507364005452063,0.5202473415630996,0.5453361202820993,2.0021980480370707,2.0521379188846227,0.4961697025294308,0.5248406605665852,0.0,0.0,0.04682717576366771,0.003153412786126414,0.0069184276472780614
min,3.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,4.0,3.0,9.0,9.0,0.0010108947753906,0.0049149990081787,0.0514948368072509,29.0,25.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136401653289794,0.0,0.0087282657623291
25%,4.0,3.0,1.0,0.0,2.0,2.0,7.0,6.0,5.0,4.0,12.0,11.0,0.001194953918457,0.005916357040405201,0.0931581258773803,30.0,28.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04181879758834835,0.0,0.0114359855651855
50%,4.0,3.0,2.0,1.0,3.0,3.0,8.0,7.0,5.0,5.0,14.0,12.0,0.0012934207916259,0.0062060356140136,0.12099039554595944,31.0,30.0,29.0,27.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0640022754669189,0.0,0.01279032230377195
75%,5.0,4.0,3.0,2.0,3.0,3.0,9.0,8.0,5.0,5.0,15.0,14.0,0.001370966434478675,0.006519079208374,0.1566159725189209,31.0,31.0,30.0,29.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.10499298572540275,0.0,0.0168342590332031
max,7.0,5.0,5.0,4.0,3.0,3.0,14.0,14.0,5.0,5.0,25.0,25.0,0.002073049545288,0.0579469203948974,0.3058390617370605,50.0,50.0,49.0,49.0,2.0,2.0,8.0,10.0,2.0,3.0,0.0,0.0,0.249241828918457,0.0549178123474121,0.0730202198028564
