,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
count,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0
mean,5.394736842105263,2.8684210526315788,2.64404432132964,1.6403508771929824,3.263157894736842,3.0526315789473686,2.8421052631578947,2.4579870729455218,4.842105263157895,4.091412742382271,3.8781163434903045,3.64196675900277,0.0010791434695735596,0.002880738932890416,0.07160505269923254,11.921052631578947,8.973684210526315,8.522160664819944,7.06371191135734,0.09695290858725762,0.23153277931671284,0.19390581717451524,0.48522622345337024,0.0,0.0110803324099723,0.0,0.0,0.033069193638372685,0.0009003659694808841,0.007243873835270375
std,1.2701390830272101,1.055709810886773,1.1919374672211134,1.0226782746966514,0.6822619827226015,0.8289386158308202,0.9533084729312212,1.0354324917615985,0.364684369624151,0.8901576492411709,0.9556845963223746,1.1342254762156545,0.0001025171558939502,0.0010985058389406247,0.025258518312216947,1.1019388467100655,2.244519223246581,2.4316504081113104,2.074596794939035,0.30965371889846555,0.44112443756503855,0.6193074377969311,0.9435773092893012,0.0,0.10469044212992804,0.0,0.0,0.023033984470394394,0.0016705525574247017,0.0037364975240311168
min,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0007960796356201,0.0016648769378662,0.0279099941253662,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9788742065429688e-05,0.0,0.0019421577453613
25%,5.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,0.0010077953338623,0.002584755420684775,0.05328869819641108,11.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01523339748382565,0.0,0.0053159594535827255
50%,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,0.00107896327972405,0.002875804901123,0.06757009029388425,12.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02675950527191155,0.0,0.00628757476806635
75%,6.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,0.0011439323425292,0.00309723615646355,0.08792120218276969,13.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479443073272705,0.0022900700569152754,0.0086860656738281
max,10.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,0.0016229152679443,0.053067922592163,0.2046139240264892,14.0,13.0,13.0,12.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.1236906051635742,0.0499038696289062,0.0594191551208496
