,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
count,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0
mean,4.378048780487805,3.207317073170732,2.1422764227642275,1.0372628726287263,2.5853658536585367,2.4878048780487805,7.934959349593496,7.623306233062331,4.926829268292683,4.609756097560975,13.695121951219512,13.248644986449865,0.001306719573209553,0.006444532535263466,0.07569325390223884,32.08536585365854,30.71951219512195,29.296747967479675,27.655149051490515,0.3902439024390244,0.42140921409214094,1.4959349593495934,1.6178861788617886,0.35772357723577236,0.3882113821138211,0.0,0.0,0.032325037126618626,0.002029115591591904,0.008411522803267762
std,0.9711250789547056,0.8661471185207906,1.2595726881601519,0.870203771969208,0.49282575216049623,0.5896166452384889,1.8779281944289483,1.8999657919458741,0.2605048045695189,0.6201254723749204,2.954663636601771,2.9425858903378717,0.00014435035368975642,0.002217795293668524,0.01731565191692693,4.965456532679021,5.508568244187242,5.554782602055417,5.47843048581782,0.5202473415630996,0.529715925682646,2.0021980480370707,2.042014260624858,0.4961697025294308,0.5066037652330722,0.0,0.0,0.015765532133916342,0.0025973330237964013,0.0028780523815559182
min,3.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,4.0,3.0,9.0,9.0,0.0010099411010742,0.0048701763153076,0.0478551387786865,29.0,25.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081288814544677,0.0,0.0056734085083007
25%,4.0,3.0,1.0,0.0,2.0,2.0,7.0,6.0,5.0,4.0,12.0,11.0,0.001198947429656925,0.0059356093406677,0.06444579362869257,30.0,28.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02031332254409785,0.0,0.00746470689773555
50%,4.0,3.0,2.0,1.0,3.0,3.0,8.0,8.0,5.0,5.0,14.0,13.0,0.00129306316375725,0.0062239170074462,0.06896913051605225,31.0,30.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028858304023742648,0.0025454759597778,0.008082151412963801
75%,5.0,4.0,3.0,2.0,3.0,3.0,9.0,9.0,5.0,5.0,15.0,14.0,0.0013728141784667,0.0065342783927917255,0.09003740549087522,31.0,31.0,30.0,28.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0426949262619018,0.00323432683944695,0.008847177028655924
max,7.0,5.0,5.0,4.0,3.0,3.0,14.0,14.0,5.0,5.0,25.0,25.0,0.0018739700317382,0.0548901557922363,0.1535699367523193,50.0,50.0,49.0,48.0,2.0,2.0,8.0,8.0,2.0,2.0,0.0,0.0,0.0883588790893554,0.0488421916961669,0.0541505813598632
