,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
count,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0
mean,5.394736842105263,2.8684210526315788,2.64404432132964,1.6874422899353647,3.263157894736842,3.0526315789473686,2.8421052631578947,2.453831948291782,4.842105263157895,4.091412742382271,3.8781163434903045,3.564173591874423,0.0011028131179421623,0.0029180112637971086,0.07359459558682423,11.921052631578947,8.973684210526315,8.522160664819944,6.938134810710988,0.09695290858725762,0.14104339796860574,0.19390581717451524,0.3125577100646353,0.0,0.015235457063711912,0.0,0.0,0.03655886980305083,0.0010318723081551584,0.00502098822967933
std,1.2701390830272101,1.055709810886773,1.1919374672211134,0.9960435308963287,0.6822619827226015,0.8289386158308202,0.9533084729312212,1.039262298713473,0.364684369624151,0.8901576492411709,0.9556845963223746,1.2052336939741146,0.00013812940316888645,0.0007933145667400011,0.023848473711975605,1.1019388467100655,2.244519223246581,2.4316504081113104,2.2017509524957863,0.30965371889846555,0.3559769318969381,0.6193074377969311,0.8195257511754226,0.0,0.12250225339088695,0.0,0.0,0.02242781649321125,0.0026404467969126815,0.002679230644956087
min,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.000795841217041,0.0016827583312988,0.0283350944519042,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011205673217773,0.0,0.0018188953399658
25%,5.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,0.0010170936584472,0.0026412010192871,0.05754548311233515,11.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199601054191589,0.0,0.0042381286621093
50%,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,0.0010972023010253,0.0029103755950926997,0.06745088100433345,12.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03109860420227045,0.0,0.00490939617156975
75%,6.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,0.0011768341064453,0.0031569004058837,0.0891390442848205,13.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050791800022125175,0.002391874790191575,0.00555145740509025
max,10.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,0.0046870708465576,0.0482070446014404,0.1912260055541992,14.0,13.0,13.0,12.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.1205105781555175,0.1428651809692382,0.0566999912261962
