,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
count,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0,4332.0
mean,5.394736842105263,2.8684210526315788,2.64404432132964,1.6874422899353647,3.263157894736842,3.0526315789473686,2.8421052631578947,2.453831948291782,4.842105263157895,4.091412742382271,3.8781163434903045,3.564173591874423,0.0010826881022113792,0.0028877946258361277,0.0743031382890949,11.921052631578947,8.973684210526315,8.522160664819944,6.938134810710988,0.09695290858725762,0.14104339796860574,0.19390581717451524,0.3125577100646353,0.0,0.015235457063711912,0.0,0.0,0.03727098608721431,0.001073655494362346,0.005352358408581798
std,1.2701390830272101,1.055709810886773,1.1919374672211134,0.9960435308963287,0.6822619827226015,0.8289386158308202,0.9533084729312212,1.039262298713473,0.364684369624151,0.8901576492411709,0.9556845963223746,1.2052336939741146,0.00011308278439649668,0.001113632932974013,0.024112540858386794,1.1019388467100655,2.244519223246581,2.4316504081113104,2.2017509524957863,0.30965371889846555,0.3559769318969381,0.6193074377969311,0.8195257511754226,0.0,0.12250225339088695,0.0,0.0,0.02294413555650165,0.002447818049648318,0.0028349601374379205
min,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0007929801940917,0.0016651153564453,0.0291750431060791,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001164436340332,0.0,0.0019681453704833
25%,5.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,0.0010058879852294,0.002595126628875725,0.057980775833129855,11.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02023112773895255,0.0,0.0043377876281738
50%,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,0.0010788440704345,0.0028841495513916,0.06809437274932856,12.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031744480133056543,0.0,0.00508797168731685
75%,6.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,0.001147806644439675,0.0031108856201171,0.0893558263778686,13.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05160593986511222,0.0023913383483886,0.0059649944305419
max,10.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,0.0031359195709228,0.0712940692901611,0.194211721420288,14.0,13.0,13.0,12.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.1490461826324463,0.0503392219543457,0.0578827857971191
