,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
count,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0,1476.0
mean,4.378048780487805,3.207317073170732,2.1422764227642275,1.2059620596205962,2.5853658536585367,2.4878048780487805,7.934959349593496,7.4986449864498645,4.926829268292683,4.609756097560975,13.695121951219512,13.124661246612465,0.0013134227535588465,0.006560897116415494,0.15203884025899372,32.08536585365854,30.71951219512195,29.296747967479675,28.359756097560975,0.3902439024390244,0.5941734417344173,1.4959349593495934,2.1951219512195124,0.35772357723577236,0.5040650406504065,0.0,0.0,0.10309304276779088,0.0018425062096861827,0.011552551412970022
std,0.9711250789547056,0.8661471185207906,1.2595726881601519,1.0478023923788329,0.49282575216049623,0.5896166452384889,1.8779281944289483,1.7890433557617282,0.2605048045695189,0.6201254723749204,2.954663636601771,2.8191911726981536,0.00014932067998266844,0.003072312243984417,0.04712875665948548,4.965456532679021,5.508568244187242,5.554782602055417,5.535094169559811,0.5202473415630996,0.568023568142526,2.0021980480370707,2.1549792366845546,0.4961697025294308,0.5517157274379978,0.0,0.0,0.04689161052628223,0.0034541007677057777,0.004666606634800539
min,3.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,4.0,3.0,9.0,9.0,0.0010218620300292,0.0049080848693847,0.0717999935150146,29.0,25.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304474830627441,0.0,0.0068869590759277
25%,4.0,3.0,1.0,0.0,2.0,2.0,7.0,6.0,5.0,4.0,12.0,11.0,0.001206696033477775,0.005964219570159825,0.11728620529174798,30.0,28.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07099092006683343,0.0,0.0095422267913818
50%,4.0,3.0,2.0,1.0,3.0,3.0,8.0,7.0,5.0,5.0,14.0,13.0,0.0012979507446289,0.00622951984405515,0.14281249046325678,31.0,30.0,29.0,27.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09059834480285639,0.0,0.010761022567749
75%,5.0,4.0,3.0,2.0,3.0,3.0,9.0,9.0,5.0,5.0,15.0,14.0,0.00137937068939205,0.0065484046936035,0.17994403839111323,31.0,31.0,30.0,29.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.13145774602890006,0.005382657051086375,0.012596189975738475
max,7.0,5.0,5.0,4.0,3.0,3.0,14.0,14.0,5.0,5.0,25.0,25.0,0.0022718906402587,0.0549871921539306,0.3341298103332519,50.0,50.0,49.0,49.0,2.0,2.0,8.0,10.0,2.0,3.0,0.0,0.0,0.2824029922485351,0.0552067756652832,0.0638916492462158
